"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-009: Bank manager deletes a customer. Customer should no longer appear in the list.","13149","tc009_deleteCustomer","XYZ Bank Automation Suite","Thu May 28 07:05:01 UTC 2026","passed","Thu May 28 07:05:14 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc009_deleteCustomer"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5057","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","Thu May 28 07:07:58 UTC 2026","passed","Thu May 28 07:08:03 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5056","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","Thu May 28 07:08:03 UTC 2026","passed","Thu May 28 07:08:09 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"Data-driven: validates that the Add Customer form enforces AC1 (alphabetic names, numeric post codes).","2027","tc002_004_005_addCustomerValidation","XYZ Bank Automation Suite","Thu May 28 07:04:28 UTC 2026","failed","Thu May 28 07:04:30 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc002_004_005_addCustomerValidation"
"TC-006: Bank manager creates an account for a customer. Expects account number in success alert.","2876","tc006_openAccountForExistingCustomer","XYZ Bank Automation Suite","Thu May 28 07:04:49 UTC 2026","passed","Thu May 28 07:04:52 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc006_openAccountForExistingCustomer"
"TC-016: Deposit of 0 should be rejected. Balance should not change. (AC5 — known defect)","5261","tc016_cannotDepositZero","XYZ Bank Automation Suite","Thu May 28 07:06:25 UTC 2026","passed","Thu May 28 07:06:31 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc016_cannotDepositZero"
"TC-007: Bank manager creates Dollar, Pound, and Rupee accounts for the same customer.","3355","tc007_openAccountsInAllCurrencies","XYZ Bank Automation Suite","Thu May 28 07:04:52 UTC 2026","passed","Thu May 28 07:04:56 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc007_openAccountsInAllCurrencies"
"Data-driven: validates that the Add Customer form enforces AC1 (alphabetic names, numeric post codes).","2015","tc002_004_005_addCustomerValidation","XYZ Bank Automation Suite","Thu May 28 07:04:31 UTC 2026","failed","Thu May 28 07:04:33 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc002_004_005_addCustomerValidation"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5132","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","Thu May 28 07:07:40 UTC 2026","passed","Thu May 28 07:07:46 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5195","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","Thu May 28 07:07:29 UTC 2026","passed","Thu May 28 07:07:34 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"TC-013: Withdrawal from a zero-balance account should be rejected. Balance stays 0. (AC6)","5057","tc013_withdrawRejectedOnZeroBalance","XYZ Bank Automation Suite","Thu May 28 07:05:57 UTC 2026","passed","Thu May 28 07:06:02 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc013_withdrawRejectedOnZeroBalance"
"Data-driven: validates that the Add Customer form enforces AC1 (alphabetic names, numeric post codes).","2006","tc002_004_005_addCustomerValidation","XYZ Bank Automation Suite","Thu May 28 07:04:33 UTC 2026","failed","Thu May 28 07:04:35 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc002_004_005_addCustomerValidation"
