"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-015: Deposit of -100 should be rejected. Balance should not change. (AC5 — known defect)","5255","tc015_cannotDepositNegativeAmount","XYZ Bank Automation Suite","Thu May 28 08:33:22 UTC 2026","passed","Thu May 28 08:33:27 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc015_cannotDepositNegativeAmount"
"TC-006: Bank manager creates an account for a customer. Expects account number in success alert.","2816","tc006_openAccountForExistingCustomer","XYZ Bank Automation Suite","Thu May 28 08:32:14 UTC 2026","passed","Thu May 28 08:32:16 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc006_openAccountForExistingCustomer"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5050","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","Thu May 28 08:34:31 UTC 2026","passed","Thu May 28 08:34:36 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"TC-012: Selecting a different account from the dropdown updates the displayed balance. (AC2)","5145","tc012_switchingAccountsUpdatesBalance","XYZ Bank Automation Suite","Thu May 28 08:33:05 UTC 2026","passed","Thu May 28 08:33:10 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc012_switchingAccountsUpdatesBalance"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5770","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","Thu May 28 08:34:59 UTC 2026","passed","Thu May 28 08:35:05 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"TC-019: After a deposit and withdrawal, both appear in the Transactions tab. (AC4)","16505","tc019_transactionsAppearInTable","XYZ Bank Automation Suite","Thu May 28 08:33:46 UTC 2026","passed","Thu May 28 08:34:02 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc019_transactionsAppearInTable"
"Data-driven: validates that the Add Customer form enforces AC1 (alphabetic names, numeric post codes).","2092","tc002_004_005_addCustomerValidation","XYZ Bank Automation Suite","Thu May 28 08:31:48 UTC 2026","passed","Thu May 28 08:31:50 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc002_004_005_addCustomerValidation"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5086","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","Thu May 28 08:34:48 UTC 2026","passed","Thu May 28 08:34:53 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5034","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","Thu May 28 08:34:36 UTC 2026","passed","Thu May 28 08:34:41 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"TC-020: The Transactions page must not expose controls to alter history. Reset button presence violates AC7. (known defect)","15782","tc020_customerCannotAlterTransactionHistory","XYZ Bank Automation Suite","Thu May 28 08:34:03 UTC 2026","failed","Thu May 28 08:34:19 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc020_customerCannotAlterTransactionHistory"
"Data-driven: validates that the Add Customer form enforces AC1 (alphabetic names, numeric post codes).","12115","tc002_004_005_addCustomerValidation","XYZ Bank Automation Suite","Thu May 28 08:32:01 UTC 2026","passed","Thu May 28 08:32:13 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc002_004_005_addCustomerValidation"
"Data-driven: deposit and withdrawal edge cases from CSV (AC5 & AC6).","5081","tc_datadriven_transactionValidation","XYZ Bank Automation Suite","Thu May 28 08:34:25 UTC 2026","passed","Thu May 28 08:34:30 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc_datadriven_transactionValidation"
"TC-010: Customer withdraws the exact account balance. Balance should be 0. (AC6)","5813","tc010_withdrawExactBalanceLeavingZero","XYZ Bank Automation Suite","Thu May 28 08:32:58 UTC 2026","passed","Thu May 28 08:33:04 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc010_withdrawExactBalanceLeavingZero"
"TC-013: Withdrawal from a zero-balance account should be rejected. Balance stays 0. (AC6)","5056","tc013_withdrawRejectedOnZeroBalance","XYZ Bank Automation Suite","Thu May 28 08:33:10 UTC 2026","passed","Thu May 28 08:33:15 UTC 2026","com.xyzbank.tests.CustomerTest","Customer Tests","com.xyzbank.tests.CustomerTest","tc013_withdrawRejectedOnZeroBalance"
"TC-001: Bank manager adds a customer with a valid alphabetic name and numeric post code. Expects success alert.","2810","tc001_addCustomerWithValidData","XYZ Bank Automation Suite","Thu May 28 08:31:44 UTC 2026","passed","Thu May 28 08:31:47 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc001_addCustomerWithValidData"
"TC-007: Bank manager creates Dollar, Pound, and Rupee accounts for the same customer.","3253","tc007_openAccountsInAllCurrencies","XYZ Bank Automation Suite","Thu May 28 08:32:17 UTC 2026","passed","Thu May 28 08:32:20 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc007_openAccountsInAllCurrencies"
"Data-driven: validates that the Add Customer form enforces AC1 (alphabetic names, numeric post codes).","2013","tc002_004_005_addCustomerValidation","XYZ Bank Automation Suite","Thu May 28 08:31:50 UTC 2026","passed","Thu May 28 08:31:52 UTC 2026","com.xyzbank.tests.ManagerTest","Bank Manager Tests","com.xyzbank.tests.ManagerTest","tc002_004_005_addCustomerValidation"
